s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
,171.04,171.04,171.04,171.04,0.0,1997-10-23,169.29,76.64606280994454,23.35393719005546,35.89158553358632
,170.61,170.61,170.61,170.61,0.0,1997-10-26,169.325,62.073621052703444,37.926378947296556,33.54271684795044
,172.96,172.96,172.96,172.96,0.0,1997-10-27,169.3593,83.50186861210311,16.498131387896876,40.23492092320159
,172.0,172.0,172.0,172.0,0.0,1997-10-28,169.50332799999998,64.80505687830677,35.19494312169322,38.109959489883984
,173.43,173.43,173.43,173.43,0.0,1997-10-29,169.64159487999999,75.16084229786061,24.839157702139385,40.55230451105143
,173.44,173.44,173.44,173.44,0.0,1997-11-03,169.8688991872,75.22456556427043,24.775434435729572,42.53166983454931
,172.68,172.68,172.68,172.68,0.0,1997-11-04,170.154587252224,60.48369631644038,39.51630368355961,38.218814394215606
,173.03,173.03,173.03,173.03,0.0,1997-11-05,170.41742027204606,64.48945852834356,35.51054147165644,36.37083492670991
,172.07,172.07,172.07,172.07,0.0,1997-11-06,170.65922665028236,47.85668526903184,52.14331473096816,29.95399383375519
,173.02,173.02,173.02,173.02,0.0,1997-11-09,170.88168851825978,60.46858879887953,39.531411201120456,28.15063058655597
,172.46,172.46,172.46,172.46,0.0,1997-11-10,171.086353436799,51.321984690360054,48.67801530963994,23.0492983453888
,172.08,172.08,172.08,172.08,0.0,1997-11-11,171.27464516185506,45.48600911794089,54.513990882059105,20.24503502913468
,171.96,171.96,171.96,171.96,0.0,1997-11-12,171.44787354890667,43.53200120723895,56.467998792761044,18.783227540412163
,172.02,172.02,172.02,172.02,0.0,1997-11-13,171.60724366499414,45.00847010557496,54.99152989442503,17.023193990099745
,172.02,172.02,172.02,172.02,0.0,1997-11-16,171.75386417179462,45.00847010557496,54.99152989442504,15.615167149849814
,172.8,172.8,172.8,172.8,0.0,1997-11-17,171.88875503805104,64.08390351240283,35.91609648759717,18.12569512484098
,172.68,172.68,172.68,172.68,0.0,1997-11-18,172.01285463500696,60.076354523829124,39.92364547617089,18.53109790940443
,172.35,172.35,172.35,172.35,0.0,1997-11-19,172.1270262642064,49.446886301462264,50.55311369853774,15.046123806938642
,173.01,173.01,173.01,173.01,0.0,1997-11-20,172.23206416306988,64.95042236812093,35.04957763187908,18.01706799279928
,173.28,173.28,173.28,173.28,0.0,1997-11-23,172.3286990300243,69.70189433500282,30.298105664997166,22.294412128240555
,173.1,173.1,173.1,173.1,0.0,1997-11-24,172.41760310762234,62.62691529780523,37.37308470219477,22.886295821714537
,173.28,173.28,173.28,173.28,0.0,1997-11-25,172.49939485901254,66.83488063555266,33.165119364447335,25.042988911592694
,172.39,172.39,172.39,172.39,0.0,1997-11-26,173.44,39.40991018709924,60.59008981290076,24.270427054434457
,172.14,172.14,172.14,172.14,0.0,1997-11-27,173.419,34.44682024822157,65.55317975177843,25.637613544258937
,171.64,171.64,171.64,171.64,0.0,1997-11-30,173.36784,26.19853436605369,73.80146563394632,30.030677088985676
,171.77,171.77,171.77,171.77,0.0,1997-12-01,173.2641696,31.527172051701342,68.47282794829866,31.413672850508004
,171.19,171.19,171.19,171.19,0.0,1997-12-02,173.166719424,22.476593370408036,77.52340662959197,36.14030093224319
,170.08,170.08,170.08,170.08,0.0,1997-12-03,173.00858187008,13.325414343534561,86.67458565646545,43.58207500838073
,170.22,170.22,170.22,170.22,0.0,1997-12-04,172.715723683072,18.553402316490743,81.44659768350927,47.44429908010828
,170.68,170.68,170.68,170.68,0.0,1997-12-07,172.45215131476482,34.724300690534776,65.27569930946524,44.065718987872714
,170.54,170.54,170.54,170.54,0.0,1997-12-08,172.21493618328833,32.285642924324755,67.71435707567527,42.33831802056827
,170.24,170.24,170.24,170.24,0.0,1997-12-09,172.0014425649595,27.173864839675232,72.82613516032477,43.00110848058453
,171.14,171.14,171.14,171.14,0.0,1997-12-10,171.80929830846355,54.304785860643,45.695214139357006,36.12280112872482
,171.19,171.19,171.19,171.19,0.0,1997-12-11,171.6363684776172,55.45715788494449,44.54284211505551,31.08110405695765
,170.56,170.56,170.56,170.56,0.0,1997-12-14,171.48073162985548,39.69181277918691,60.30818722081308,28.988158133891353
,170.16,170.16,170.16,170.16,0.0,1997-12-15,171.34065846686994,32.385120115592855,67.61487988440713,30.236478460875936
,170.11,170.11,170.11,170.11,0.0,1997-12-16,171.21459262018294,31.479658702440844,68.52034129755914,31.597319287724407
,170.9,170.9,170.9,170.9,0.0,1997-12-17,171.10113335816465,55.85580821566333,44.14419178433666,27.620178716444862
,171.7,171.7,171.7,171.7,0.0,1997-12-18,170.08,69.56238744348961,30.437612556510373,29.92109795055174
,170.83,170.83,170.83,170.83,0.0,1997-12-21,170.1124,48.91594474405625,51.08405525594375,24.370500462818892
,170.57,170.57,170.57,170.57,0.0,1997-12-22,170.14415200000002,44.03369496725904,55.96630503274097,21.882922383351502
,170.52,170.52,170.52,170.52,0.0,1997-12-23,170.17526896,43.0019685399331,56.9980314600669,20.30555049070796
,170.94,170.94,170.94,170.94,0.0,1997-12-24,170.2057635808,54.25589055858669,45.74410944141331,17.946796616001045
,170.74,170.74,170.74,170.74,0.0,1997-12-25,170.235648309184,48.54999341808568,51.45000658191432,14.937439925566565
,170.83,170.83,170.83,170.83,0.0,1997-12-28,170.26493534300033,51.42358491401807,48.576415085981935,12.51938590606048
,170.7,170.7,170.7,170.7,0.0,1997-12-30,170.29363663614032,46.7128682300364,53.2871317699636,11.330361432833824
,170.93,170.93,170.93,170.93,0.0,1997-12-31,170.32176390341752,55.68971265947301,44.310287340526976,11.340174210056265
,170.21,170.21,170.21,170.21,0.0,1998-01-04,171.7,33.56423114554728,66.4357688544527,15.646446909826096
,170.23,170.23,170.23,170.23,0.0,1998-01-05,171.6702,34.46824906284385,65.53175093715615,18.729857902723335
,170.39,170.39,170.39,170.39,0.0,1998-01-06,171.640996,42.317355771318795,57.68264422868121,18.05694401365115
,170.32,170.32,170.32,170.32,0.0,1998-01-07,171.61237608,39.7158747375077,60.2841252624923,18.559205315917843
,170.69,170.69,170.69,170.69,0.0,1998-01-08,171.5843285584,57.12907778847494,42.87092221152508,17.698995368124248
,170.73,170.73,170.73,170.73,0.0,1998-01-12,171.556841987232,58.73963817541578,41.26036182458423,17.655051564665705
,170.6,170.6,170.6,170.6,0.0,1998-01-13,171.52990514748734,50.96190228034142,49.038097719658595,14.50880216386913
,176.6,176.6,176.6,176.6,0.0,1998-02-15,170.21,94.32367569818845,5.676324301811541,29.336512010370683
,176.62,176.62,176.62,176.62,0.0,1998-02-16,170.33780000000002,94.34451255569748,5.655487444302526,41.207014630575536
,176.11,176.11,176.11,176.11,0.0,1998-02-17,170.589088,84.46181254308797,15.538187456912025,46.75033672169562
,176.12,176.12,176.12,176.12,0.0,1998-02-18,170.83032448,84.50160360861983,15.498396391380155,51.200910820804424
,176.5,176.5,176.5,176.5,0.0,1998-02-22,171.0619115008,86.18238734129633,13.817612658703657,55.43368359316207
,176.57,176.57,176.57,176.57,0.0,1998-02-23,171.28423504076798,86.5190311513062,13.48096884869381,58.95455933505214
,178.68,178.68,178.68,178.68,0.0,1998-02-26,171.49766563913727,92.97125816782389,7.028741832176124,64.35215073517126
,177.58,177.58,177.58,177.58,0.0,1998-03-01,171.92860570078903,70.86789691401633,29.132103085983687,59.82887935374354
,177.86,177.86,177.86,177.86,0.0,1998-03-02,172.33368935874168,72.91664006284502,27.083359937154988,57.02975950813284
,178.04,178.04,178.04,178.04,0.0,1998-03-03,172.71446799721718,74.36530616435968,25.63469383564033,55.36993007225014
,178.56,178.56,178.56,178.56,0.0,1998-03-04,173.07239991738416,78.51520750025978,21.48479249974022,55.702027057904026
,179.42,179.42,179.42,179.42,0.0,1998-03-05,173.4088559223411,83.90252449064725,16.097475509352734,58.12263144258212
,180.31,180.31,180.31,180.31,0.0,1998-03-08,173.8897474485538,87.84519806028783,12.154801939712154,61.63618437818083
,180.29,180.29,180.29,180.29,0.0,1998-03-09,174.53177270369844,87.24496018065962,12.75503981934038,64.20693157480851
,180.22,180.22,180.22,180.22,0.0,1998-03-10,175.1095954333286,84.71256622404286,15.287433775957131,65.25057174946396
,180.36,180.36,180.36,180.36,0.0,1998-03-11,175.62963588999574,85.74685460009263,14.25314539990736,66.49919923960822
,180.84,180.84,180.84,180.84,0.0,1998-03-15,176.19727958319626,88.95066273524894,11.049337264751045,68.77962448578616
,169.71,169.71,169.71,169.71,0.0,1998-03-16,180.84,11.836290207558973,88.16370979244101,70.28918350560534
,168.91,168.91,168.91,168.91,0.0,1998-03-17,180.84,10.980964611798969,89.01903538820102,71.83896095976468
,169.49,169.49,169.49,169.49,0.0,1998-03-18,180.3628,16.452359645166677,83.5476403548333,70.89022490974507
,170.23,170.23,170.23,170.23,0.0,1998-03-19,179.904688,23.910861374269825,76.08913862573017,67.14783537808813
,165.87,165.87,165.87,165.87,0.0,1998-03-22,179.46490047999998,14.42603783317912,85.57396216682086,67.94785316919885
,166.06,166.06,166.06,166.06,0.0,1998-03-23,178.64920645119997,16.235996205065597,83.76400379493438,67.86388405333284
,166.34,166.34,166.34,166.34,0.0,1998-03-24,177.88245406412798,19.3772219472398,80.62277805276018,66.54021846377034
,166.62,166.62,166.62,166.62,0.0,1998-03-25,177.1617068202803,22.98728007688662,77.01271992311335,64.03726274026162
,167.4,167.4,167.4,167.4,0.0,1998-03-26,176.48420441106347,33.375414085429625,66.62458591457035,57.87964455803744
,167.83,167.83,167.83,167.83,0.0,1998-03-29,175.84735214639966,39.04162013309792,60.95837986690207,50.68706759319078
,167.06,167.06,167.06,167.06,0.0,1998-03-30,175.24871101761568,32.79798777475922,67.20201222524075,47.430458964648935
,166.62,166.62,166.62,166.62,0.0,1998-03-31,174.68598835655874,29.435554485691984,70.56444551430798,46.17014537744235
,166.37,166.37,166.37,166.37,0.0,1998-04-01,174.15702905516522,27.43775286013883,72.56224713986114,45.96101515789835
,165.87,165.87,165.87,165.87,0.0,1998-04-02,173.6598073118553,23.45756885997338,76.5424311400266,47.38578458232933
,166.47,166.47,166.47,166.47,0.0,1998-04-06,173.192418873144,37.1362998484335,62.86370015156648,43.05410772649006
,166.64,166.64,166.64,166.64,0.0,1998-04-07,172.75307374075535,40.87825424111001,59.121745758889986,38.09198448474804
,166.06,166.06,166.06,166.06,0.0,1998-04-08,172.34008931631004,32.60202956352565,67.39797043647434,37.43277576238817
,165.82,165.82,165.82,165.82,0.0,1998-04-09,171.95188395733143,29.511554271996626,70.48844572800338,38.141598901111884
,159.38,159.38,159.38,159.38,0.0,1998-04-12,171.46133324074492,7.060945313964656,92.93905468603535,47.68890099530365
,158.86,158.86,158.86,158.86,0.0,1998-04-13,170.25319991667044,6.5574466765980315,93.44255332340198,55.5281421256037
,157.97,157.97,157.97,157.97,0.0,1998-05-14,168.88601592666998,5.689477137354109,94.31052286264591,62.14672284554132
,158.01,158.01,158.01,158.01,0.0,1998-05-17,167.3577736969362,6.385610301902784,93.61438969809723,67.16313415567194
,157.69,157.69,157.69,157.69,0.0,1998-05-18,166.04348537936514,5.946669479832425,94.05333052016758,71.35183953260459
,157.57,157.57,157.57,157.57,0.0,1998-05-19,164.70692771866672,5.761040503008799,94.2389594969912,74.77705542488016
,157.29,157.29,157.29,157.29,0.0,1998-05-20,163.42228072930672,5.28029325047976,94.71970674952026,77.70952703971223
