date,price
2023-01-01,2042.6474090701156
2023-01-02,2035.9847669855194
2023-01-03,2043.2871400222502
2023-01-04,2048.7389248390787
2023-01-05,2045.585716734031
2023-01-08,2052.7972952960345
2023-01-09,2055.772513648826
2023-01-10,2062.95349380024
2023-01-12,2064.675801283699
2023-01-17,2067.5151724198167
2023-01-18,2072.077843828849
2023-01-19,2070.5991777660056
2023-01-23,2071.2961502388926
2023-01-24,2073.539172725352
2023-01-25,2071.764870148455
2023-01-26,2187.7799122823585
2023-01-29,2188.1887312438857
2023-01-30,2190.6044641753033
2023-01-31,2183.7131849587863
2023-02-01,2187.806822418464
2023-02-02,2188.9330304323275
2023-02-05,2186.8526763219324
2023-02-06,2187.8145365105174
2023-02-07,2187.488008865351
2023-02-08,2188.33083496256
2023-02-09,2190.08661365569
2023-02-12,2188.662519409755
2023-02-14,2189.9032090339156
2023-02-15,2188.98194875437
2023-02-16,2188.999366638818
2023-02-20,2061.1714494056205
2023-02-22,2063.439000731302
2023-02-23,2059.1695856981487
2023-02-26,2066.436312641517
2023-02-27,2066.5456039417163
2023-02-28,2064.016983889894
2023-03-01,2059.558677414412
2023-03-02,2056.3314468976205
2023-03-05,2054.2750964140478
2023-03-07,2053.2898976385945
2023-03-09,2050.4503130470184
2023-03-12,2051.488581099966
2023-03-13,2050.6722710628433
2023-03-14,2050.773504839588
2023-03-15,2051.5953975981747
2023-03-16,1934.2401424963257
2023-03-19,1934.57888646374
2023-03-20,1927.433577252436
2023-03-22,1924.0639777920378
2023-03-23,1926.5685327868048
2023-03-26,1929.074965805619
2023-03-27,1927.982319285121
2023-03-28,1924.0308457270041
2023-03-29,1923.591911987446
2023-03-30,1923.1490722333745
2023-04-02,1921.3761239062453
2023-04-03,1922.1343370757324
2023-04-04,1921.0345572029728
2023-04-05,1920.1830994080374
2023-04-06,1921.0870221564041
2023-04-09,1861.0920951951355
2023-04-10,1863.9505110538612
2023-04-11,1864.7304363624485
2023-04-12,1864.5557319219686
2023-04-13,1863.7381420511067
2023-04-16,1862.0308014834786
2023-04-17,1860.5186370501297
2023-04-18,1859.8334803229495
2023-04-19,1860.6855993137035
2023-04-20,1860.111670038707
2023-04-23,1859.8799168996322
2023-04-24,1859.9966293254026
2023-04-25,1859.97066641784
2023-04-26,1859.9307499171384
2023-04-27,1859.9407167214404
2023-04-30,1892.6798811482759
2023-05-02,1889.3834485081643
2023-05-03,1889.9731673697997
2023-05-04,1887.1794009736884
2023-05-07,1885.038243956595
2023-05-08,1882.882870545757
2023-05-09,1885.2807846694247
2023-05-10,1885.3276866388169
2023-05-11,1879.5635340189936
2023-05-14,1882.191105742439
2023-05-15,1883.4955421436357
2023-05-16,1887.152492927801
2023-05-17,1888.9350676993108
2023-05-18,1893.0094703662241
2023-05-21,1896.7082190858162
2023-05-22,1879.8878678901135
2023-05-23,1883.5456937155232
2023-05-24,1884.6111353792571
2023-05-28,1884.9452347654926
2023-05-30,1885.4721253683608
2023-05-31,1884.4730258453226
2023-06-01,1885.6894233377582
2023-06-04,1888.76230625918
2023-06-05,1891.524722560084
2023-06-06,1893.3603172913279
2023-06-07,1892.7930102953894
2023-06-08,1893.2859168492819
2023-06-11,1893.6786805109657
2023-06-12,1893.3005940119579
2023-06-13,1893.9311045248396
2023-06-14,2027.8607836959761
2023-06-15,2025.8638442092076
2023-06-18,2034.710570811932
2023-06-19,2037.212362515936
2023-06-20,2037.5841239308106
2023-06-21,2043.2688419312856
2023-06-22,2042.018154286235
2023-06-25,2046.0457549784787
2023-06-26,2049.7320026720377
2023-06-27,2051.512071659499
2023-06-28,2054.791908693351
2023-07-02,2054.0794155185426
2023-07-03,2053.8457459124065
2023-07-04,2055.6903346641934
2023-07-05,2054.181025265805
2023-07-06,2046.5554072825025
2023-07-09,2044.4729510703369
2023-07-10,2047.4640897494676
2023-07-11,2051.084136042506
2023-07-12,2053.726567660602
2023-07-13,2049.486613506908
2023-07-16,2043.6603064233955
2023-07-17,2039.6429792697095
2023-07-18,2042.2926608450923
2023-07-19,2037.0224003221408
2023-07-20,2036.3371805914594
2023-07-23,2036.3574546176083
2023-07-24,2035.686107766374
2023-07-25,2036.7289658480368
2023-07-26,2036.5560382176525
2023-07-27,2157.7517822672276
2023-07-30,2156.231638557418
2023-07-31,2165.0972836135365
2023-08-01,2162.5717051476527
2023-08-02,2163.4613207960515
2023-08-03,2165.2381814373716
2023-08-06,2169.118976321882
2023-08-07,2167.9160261380493
2023-08-08,2163.275998499533
2023-08-09,2161.506356722184
2023-08-10,2162.9240484871593
2023-08-13,2161.151147325304
2023-08-14,2162.2763493171224
2023-08-15,2161.9308616931626
2023-08-16,2161.449510445196
2023-08-17,2030.5175806224415
2023-08-20,2022.2239300487117
2023-08-21,2021.8984607178204
2023-08-22,2020.0783314539053
2023-08-23,2020.6217680681243
2023-08-24,2023.786468389088
2023-08-27,2024.337424927293
2023-08-28,2023.4854142267923
2023-08-29,2021.6000539063766
2023-08-30,2017.6189309442998
2023-09-03,2019.0918917683175
2023-09-04,2018.239872663051
2023-09-05,2017.8284393064616
2023-09-07,2018.6298567517867
2023-09-10,2017.569195643431
2023-09-11,1943.8052925832167
2023-09-12,1935.7551062769192
2023-09-13,1938.4633779488386
2023-09-17,1937.1977532720175
2023-09-18,1934.6820135445355
2023-09-19,1934.2942770462298
2023-09-21,1932.8063827161893
2023-09-24,1932.912288123267
2023-09-25,1930.0399374993212
2023-09-26,1929.4398050510913
2023-09-27,1931.22173516912
2023-10-01,1929.6931751552866
2023-10-02,1930.0163745501432
